title,genre
"Princess and the Frog, The (2009)",Animation Children Fantasy Musical Romance
Stop! Or My Mom Will Shoot (1992),Action Comedy
"Wolf of Wall Street, The (2013)",Comedy Crime Drama
Bio-Dome (1996),Comedy
Spartacus (1960),Action Drama Romance War
"Boy and His Dog, A (1975)",Sci-Fi
Reality Bites (1994),Comedy Drama Romance
Spotlight (2015),Thriller
Return to Never Land (2002),Adventure Animation Children
Maverick (1994),Adventure Comedy Western
"Dinner Game, The (Dîner de cons, Le) (1998)",Comedy
"Saint, The (1997)",Action Romance Sci-Fi Thriller
This Is Spinal Tap (1984),Comedy
The Lego Movie (2014),Action Adventure Animation Children Comedy Fantasy
Powder (1995),Drama Sci-Fi
Jet Li's Fearless (Huo Yuan Jia) (2006),Action Drama
1991: The Year Punk Broke (1992),Documentary
Contact (1997),Drama Sci-Fi
Howl's Moving Castle (Hauru no ugoku shiro) (2004),Adventure Animation Fantasy Romance
"Concert for George, The (2003)",Documentary Musical
"Day the Earth Caught Fire, The (1961)",Sci-Fi
Waiting to Exhale (1995),Comedy Drama Romance
Shaun of the Dead (2004),Comedy Horror
Go (1999),Comedy Crime
Analyze This (1999),Comedy
"O Brother, Where Art Thou? (2000)",Adventure Comedy Crime
Network (1976),Comedy Drama
American Splendor (2003),Comedy Drama
American Psycho (2000),Crime Horror Mystery Thriller
Closer (2004),Drama Romance
Beverly Hills Cop (1984),Action Comedy Crime Drama
Donnie Darko (2001),Drama Mystery Sci-Fi Thriller
Predators (2010),Action Sci-Fi Thriller
"World's End, The (2013)",Action Comedy Sci-Fi
"King's Speech, The (2010)",Drama
Hook (1991),Adventure Comedy Fantasy
Romancing the Stone (1984),Action Adventure Comedy Romance
Batman (1989),Action Crime Thriller
Rain Man (1988),Drama
"League of Their Own, A (1992)",Comedy Drama
"Poseidon Adventure, The (1972)",Action Adventure Drama
Basic Instinct (1992),Crime Mystery Thriller
Interstellar (2014),Sci-Fi IMAX
Funny People (2009),Comedy Drama
Sherlock Holmes and the Voice of Terror (1942),Crime Mystery War
Antz (1998),Adventure Animation Children Comedy Fantasy
"Brother from Another Planet, The (1984)",Drama Sci-Fi
Good Will Hunting (1997),Drama Romance
Dr. Seuss' The Lorax (2012),Animation Fantasy Musical IMAX
Sherlock Holmes: A Game of Shadows (2011),Action Adventure Comedy Crime Mystery Thriller
"Wedding Singer, The (1998)",Comedy Romance
The Amazing Spider-Man 2 (2014),Action Sci-Fi IMAX
"Day the Earth Stood Still, The (2008)",Drama Sci-Fi Thriller IMAX
Star Trek II: The Wrath of Khan (1982),Action Adventure Sci-Fi Thriller
Star Wars: Episode IV - A New Hope (1977),Action Adventure Sci-Fi
Arachnophobia (1990),Comedy Horror
Jude (1996),Drama
Iron Man 2 (2010),Action Adventure Sci-Fi Thriller IMAX
Four Brothers (2005),Action Crime Drama
Legally Blonde (2001),Comedy Romance
Mary Poppins (1964),Children Comedy Fantasy Musical
"Texas Chainsaw Massacre, The (2003)",Horror
Fantastic Four (2005),Action Adventure Sci-Fi
"Shot in the Dark, A (1964)",Comedy Crime Mystery
Orphan (2009),Drama Horror Mystery Thriller
"Wrestler, The (2008)",Drama
Trainspotting (1996),Comedy Crime Drama
Star Wars: Episode I - The Phantom Menace (1999),Action Adventure Sci-Fi
Sleepless in Seattle (1993),Comedy Drama Romance
About a Boy (2002),Comedy Drama Romance
Explorers (1985),Adventure Children Sci-Fi
You Don't Mess with the Zohan (2008),Comedy
Super Size Me (2004),Comedy Documentary Drama
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy Romance
Vanilla Sky (2001),Mystery Romance Sci-Fi Thriller
Tommy Boy (1995),Comedy
U Turn (1997),Crime Drama Mystery
Snatch (2000),Comedy Crime Thriller
Bridesmaids (2011),Comedy
"Road Warrior, The (Mad Max 2) (1981)",Action Adventure Sci-Fi Thriller
Austin Powers: International Man of Mystery (1997),Action Adventure Comedy
West Side Story (1961),Drama Musical Romance
"Blind Side, The  (2009)",Drama
St. Trinian's (2007),Children Comedy
"Transporter, The (2002)",Action Crime
Beyond Outrage (2012),Action
Deep Blue Sea (1999),Action Horror Sci-Fi Thriller
Now You See Me 2 (2016),Action Comedy Thriller
Coneheads (1993),Comedy Sci-Fi
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror
Indiana Jones and the Last Crusade (1989),Action Adventure
Shadowlands (1993),Drama Romance
Strange Brew (1983),Comedy
Equilibrium (2002),Action Sci-Fi Thriller
Terminator 2: Judgment Day (1991),Action Sci-Fi
Free Willy (1993),Adventure Children Drama
Head-On (Gegen die Wand) (2004),Drama Romance
Twister (1996),Action Adventure Romance Thriller
Private Parts (1997),Comedy Drama
Life Is Beautiful (La Vita è bella) (1997),Comedy Drama Romance War
Brokeback Mountain (2005),Drama Romance
Night at the Museum: Secret of the Tomb (2014),Adventure Children Comedy Fantasy
Gran Torino (2008),Crime Drama
"Good Morning, Vietnam (1987)",Comedy Drama War
National Security (2003),Action Comedy
Total Recall (1990),Action Adventure Sci-Fi Thriller
The Hobbit: The Battle of the Five Armies (2014),Adventure Fantasy
"Cat in the Hat, The (2003)",Children Comedy
Kill Bill: Vol. 1 (2003),Action Crime Thriller
"Interpreter, The (2005)",Drama Thriller
Get Out (2017),Horror
"Hudsucker Proxy, The (1994)",Comedy
Married to the Mob (1988),Comedy
Frailty (2001),Crime Drama Thriller
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action Adventure
Shrek (2001),Adventure Animation Children Comedy Fantasy Romance
"Killing Fields, The (1984)",Drama War
Much Ado About Nothing (1993),Comedy Romance
Zone Troopers (1985),Action Sci-Fi War
"Night of the Iguana, The (1964)",Drama Thriller
Pride and Prejudice (1940),Comedy Drama Romance
Mouse Hunt (1997),Children Comedy
Time of the Gypsies (Dom za vesanje) (1989),Comedy Crime Drama Fantasy
Kick-Ass (2010),Action Comedy
"Honey, I Blew Up the Kid (1992)",Children Comedy Sci-Fi
Zoolander (2001),Comedy
"Daytrippers, The (1996)",Comedy Drama Mystery Romance
3 Idiots (2009),Comedy Drama Romance
Lara Croft: Tomb Raider (2001),Action Adventure
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared (2016),Adventure Comedy
Clear and Present Danger (1994),Action Crime Drama Thriller
"Skulls, The (2000)",Thriller
"Flintstones, The (1994)",Children Comedy Fantasy
Cool Hand Luke (1967),Drama
Hard Core Logo (1996),Comedy Drama
Mrs. Doubtfire (1993),Comedy Drama
"Abyss, The (1989)",Action Adventure Sci-Fi Thriller
Shaft (2000),Action Crime Thriller
Boys Life (1995),Drama
The Hunger Games: Catching Fire (2013),Action Adventure Sci-Fi IMAX
50 First Dates (2004),Comedy Romance
Sin City (2005),Action Crime Film-Noir Mystery Thriller
Up (2009),Adventure Animation Children Drama
"Fountain, The (2006)",Drama Fantasy Romance
"Gods Must Be Crazy, The (1980)",Adventure Comedy
Chariots of Fire (1981),Drama
Under Siege 2: Dark Territory (1995),Action
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action Drama Romance
Chicken Run (2000),Animation Children Comedy
City Slickers II: The Legend of Curly's Gold (1994),Adventure Comedy Western
Cry-Baby (1990),Comedy Musical Romance
Ratatouille (2007),Animation Children Drama
"White Balloon, The (Badkonake sefid) (1995)",Children Drama
Scooby-Doo (2002),Adventure Children Comedy Fantasy Mystery
Pump Up the Volume (1990),Comedy Drama
Dirty Rotten Scoundrels (1988),Comedy
The Terror Live (2013),Action Crime Thriller
Atlantis: The Lost Empire (2001),Adventure Animation Children Fantasy
Paths of Glory (1957),Drama War
Red Planet (2000),Action Sci-Fi Thriller
Spy Hard (1996),Comedy
Zardoz (1974),Fantasy Sci-Fi
Pi (1998),Drama Sci-Fi Thriller
It Happened One Night (1934),Comedy Romance
Dr. No (1962),Action Adventure Thriller
Annie Hall (1977),Comedy Romance
Blade Runner 2049 (2017),Sci-Fi
U-571 (2000),Action Thriller War
Striptease (1996),Comedy Crime
Seven Pounds (2008),Drama
What Women Want (2000),Comedy Romance
It Could Happen to You (1994),Comedy Drama Romance
Skyfall (2012),Action Adventure Thriller IMAX
Super Troopers (2001),Comedy Crime Mystery
Munich (2005),Action Crime Drama Thriller
Apocalypto (2006),Adventure Drama Thriller
Space Cowboys (2000),Action Adventure Comedy Sci-Fi
On the Waterfront (1954),Crime Drama
The Lobster (2015),Comedy Romance Sci-Fi
"I, Robot (2004)",Action Adventure Sci-Fi Thriller
Sergeant York (1941),Drama War
"Quick and the Dead, The (1995)",Action Thriller Western
Night Watch (Nochnoy dozor) (2004),Action Fantasy Horror Mystery Sci-Fi Thriller
Death Wish 4: The Crackdown (1987),Action Drama
Uptown Girls (2003),Comedy
Conspiracy Theory (1997),Drama Mystery Romance Thriller
Red Rock West (1992),Thriller
Gone Girl (2014),Drama Thriller
"Thing, The (1982)",Action Horror Sci-Fi Thriller
Beetlejuice (1988),Comedy Fantasy
The Hate U Give (2018),Crime Drama
Singles (1992),Comedy Drama Romance
Monty Python and the Holy Grail (1975),Adventure Comedy Fantasy
Entrapment (1999),Crime Thriller
Cast Away (2000),Drama
Practical Magic (1998),Drama Fantasy Mystery Romance
Mystery Science Theater 3000: The Movie (1996),Comedy Sci-Fi
Yes Man (2008),Comedy
Kill Bill: Vol. 2 (2004),Action Drama Thriller
Manhattan (1979),Comedy Drama Romance
Almost Famous (2000),Drama
"Scarlet Letter, The (1926)",Drama
Night at the Museum: Battle of the Smithsonian (2009),Action Comedy IMAX
High Fidelity (2000),Comedy Drama Romance
Black Swan (2010),Drama Thriller
Nixon (1995),Drama
Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action Adventure Comedy Fantasy
Harry Potter and the Prisoner of Azkaban (2004),Adventure Fantasy IMAX
Star Trek: Insurrection (1998),Action Drama Romance Sci-Fi
Naruto Shippuden the Movie: Road to Ninja (2012),Action Adventure Animation Fantasy
"Wizard of Oz, The (1939)",Adventure Children Fantasy Musical
John Dies at the End (2012),Comedy Fantasy Horror
Your Name. (2016),Animation Drama Fantasy Romance
"Judge, The (2014)",Drama
"Mosquito Coast, The (1986)",Adventure Drama Thriller
Hitman (2007),Action Crime Thriller
Beowulf (2007),Action Adventure Animation Fantasy IMAX
"Big Short, The (2015)",Drama
The Killing of a Sacred Deer (2017),Drama Horror Mystery Thriller
"Secret of NIMH, The (1982)",Adventure Animation Children Drama
Before Midnight (2013),Drama Romance
Star Wars: Episode VI - Return of the Jedi (1983),Action Adventure Sci-Fi
That Thing You Do! (1996),Comedy Drama
"American in Paris, An (1951)",Musical Romance
Sleepy Hollow (1999),Fantasy Horror Mystery Romance
Frost/Nixon (2008),Drama
"Naked Gun 2 1/2: The Smell of Fear, The (1991)",Comedy
"English Patient, The (1996)",Drama Romance War
"One, The (2001)",Action Sci-Fi Thriller
Little Miss Sunshine (2006),Adventure Comedy Drama
Wanted (2008),Action Thriller
"Birdcage, The (1996)",Comedy
"Conformist, The (Conformista, Il) (1970)",Drama
James and the Giant Peach (1996),Adventure Animation Children Fantasy Musical
Pacific Heights (1990),Mystery Thriller
Sky High (2005),Action Adventure Children Comedy
Best in Show (2000),Comedy
You Can Count on Me (2000),Drama Romance
My Big Fat Greek Wedding (2002),Comedy Romance
Agent Cody Banks (2003),Action Adventure Children Fantasy
Nobody's Fool (1994),Comedy Drama Romance
